floor,year,area,price
中层（共6层）,,107㎡,56万
高层（共17层）,,125.97㎡,43万
中层（共32层）,2018年建,113.6㎡,79万
中层（共25层）,,88.39㎡,55万
中层（共18层）,2008年建,106㎡,73万
中层（共31层）,2015年建,100㎡,94万
低层（共28层）,2010年建,95.42㎡,138万
中层（共7层）,,141㎡,67万
低层（共28层）,,104㎡,35万
高层（共1层）,2015年建,190㎡,140万
低层（共6层）,,133㎡,73万
低层（共26层）,,128㎡,43万
高层（共11层）,,158㎡,89万
低层（共17层）,,135.28㎡,44.22万
中层（共33层）,2018年建,45㎡,68万
低层（共13层）,,96㎡,48万
中层（共33层）,2018年建,116㎡,64.8万
低层（共33层）,2016年建,132㎡,132万
低层（共8层）,2015年建,142.14㎡,293万
低层（共10层）,,105㎡,33万
高层（共2层）,,170㎡,48.8万
中层（共6层）,2003年建,145.16㎡,49.5万
低层（共6层）,,133㎡,73万
中层（共19层）,,149㎡,78万
高层（共11层）,,158㎡,89万
高层（共29层）,,124.77㎡,42万
中层（共22层）,2020年建,38㎡,44万
低层（共5层）,,70㎡,35万
低层（共30层）,2020年建,149㎡,95万
高层（共16层）,2010年建,146㎡,144.5万
中层（共18层）,2015年建,105㎡,158万
中层（共10层）,,34㎡,34万
高层（共2层）,,170㎡,48.8万
高层（共11层）,2013年建,143.98㎡,80万
高层（共11层）,,138㎡,35万
高层（共7层）,,103㎡,36万
高层（共19层）,,100.69㎡,32万
高层（共19层）,,224.68㎡,188万
低层（共28层）,2018年建,30㎡,42万
中层（共18层）,2008年建,103㎡,53.8万
中层（共33层）,2020年建,46㎡,38万
低层（共34层）,2013年建,88.1㎡,100万
高层（共7层）,,80.5㎡,22万
高层（共2层）,,170㎡,48.8万
中层（共6层）,2019年建,115.6㎡,50万
低层（共6层）,,23㎡,18万
低层（共16层）,,145㎡,80万
高层（共26层）,,100㎡,34万
高层（共3层）,,271㎡,200万
中层（共16层）,2020年建,56㎡,107万
低层（共29层）,2012年建,140.23㎡,86万
高层（共24层）,2012年建,111.18㎡,100万
高层（共31层）,2010年建,54㎡,77万
中层（共7层）,,125㎡,74万
高层（共2层）,,170㎡,48.8万
中层（共7层）,2000年建,97.54㎡,40万
中层（共2层）,,602㎡,130万
高层（共6层）,,115㎡,50万
低层（共33层）,,95㎡,32万
低层（共6层）,,154㎡,50万
中层（共30层）,2017年建,92㎡,76万
高层（共7层）,2001年建,66㎡,18万
高层（共6层）,1990年建,98.8㎡,68万
高层（共32层）,2015年建,89.94㎡,136万
低层（共33层）,,109.8㎡,56万
高层（共2层）,,170㎡,48.8万
中层（共32层）,2015年建,89.93㎡,53万
低层（共11层）,,103.79㎡,50万
高层（共6层）,,145㎡,52万
高层（共33层）,,84.28㎡,27万
低层（共26层）,,106㎡,35万
中层（共32层）,2018年建,31㎡,29万
低层（共34层）,2017年建,126㎡,77万
中层（共32层）,2020年建,80㎡,65万
高层（共16层）,2010年建,108㎡,165万
低层（共7层）,,135㎡,68万
高层（共2层）,,170㎡,48.8万
低层（共34层）,2020年建,96㎡,55万
中层（共16层）,,140.1㎡,85万
高层（共7层）,,145㎡,52万
高层（共5层）,,56㎡,7万
低层（共28层）,,112㎡,46万
中层（共33层）,2018年建,45㎡,50万
中层（共33层）,2018年建,116㎡,68万
高层（共6层）,2020年建,123.8㎡,74万
高层（共33层）,2013年建,121㎡,245万
低层（共7层）,,147㎡,78万
高层（共2层）,,170㎡,48.8万
高层（共25层）,2020年建,92.63㎡,57万
高层（共5层）,,120㎡,23万
高层（共7层）,,145㎡,52万
中层（共32层）,,97㎡,38万
中层（共18层）,,144㎡,81万
高层（共17层）,,125.97㎡,43.5万
中层（共22层）,2016年建,50.19㎡,48.9万
低层（共33层）,2017年建,114.6㎡,57万
高层（共23层）,2015年建,127.26㎡,105万
高层（共18层）,2011年建,93.93㎡,138万
高层（共7层）,,146㎡,55万
中层（共6层）,,72㎡,29万
高层（共18层）,2020年建,104㎡,50万
中层（共2层）,,72㎡,15万
中层（共2层）,,90㎡,37万
中层（共18层）,,144.16㎡,81万
低层（共40层）,,130㎡,50万
中层（共29层）,2020年建,37.6㎡,44万
高层（共7层）,2008年建,99㎡,58万
中层（共32层）,2020年建,85㎡,81万
低层（共9层）,2015年建,141.14㎡,290万
高层（共1层）,,30㎡,20万
高层（共7层）,,80㎡,23万
中层（共30层）,2014年建,126.44㎡,78万
高层（共15层）,,162㎡,150万
高层（共7层）,,103㎡,36万
高层（共7层）,,80㎡,21万
中层（共28层）,,92㎡,40万
中层（共28层）,2019年建,40㎡,56万
高层（共33层）,2019年建,136㎡,80万
中层（共7层）,1998年建,93㎡,36.5万
中层（共32层）,2020年建,121.76㎡,130万
低层（共31层）,2010年建,86.66㎡,111万
高层（共7层）,,149.7㎡,55万
高层（共6层）,,93㎡,30万
低层（共26层）,2018年建,108㎡,55万
高层（共15层）,,162㎡,150万
高层（共30层）,,110.5㎡,55万
低层（共17层）,,93㎡,29万
高层（共28层）,2018年建,35㎡,47.6万
高层（共6层）,2010年建,99㎡,59万
低层（共28层）,2010年建,93.32㎡,81万
低层（共31层）,2013年建,90.13㎡,113万
低层（共22层）,,124㎡,66万
高层（共6层）,,115㎡,36万
中层（共7层）,2020年建,115㎡,48万
中层（共11层）,,133㎡,150万
低层（共7层）,,105㎡,59万
高层（共7层）,,113.4㎡,36.28万
低层（共17层）,,125.97㎡,43万
中层（共25层）,2019年建,45㎡,60万
低层（共32层）,2018年建,117㎡,49.8万
中层（共17层）,2019年建,89㎡,47万
低层（共32层）,2012年建,82.41㎡,133.5万
低层（共7层）,,88㎡,47万
低层（共19层）,,135㎡,50万
中层（共6层）,2010年建,88㎡,38万
中层（共11层）,,133㎡,148万
中层（共6层）,,80㎡,48万
高层（共7层）,,113.4㎡,36万
中层（共25层）,2015年建,60㎡,120万
中层（共33层）,2019年建,105㎡,66万
中层（共22层）,2010年建,113.78㎡,126万
中层（共25层）,2008年建,87.47㎡,95万
低层（共3层）,,275㎡,40万
高层（共6层）,,130.9㎡,48万
低层（共32层）,2020年建,93㎡,68万
高层（共18层）,,96㎡,56万
中层（共23层）,2019年建,31㎡,27.16万
中层（共26层）,2019年建,122㎡,58.6万
高层（共32层）,2010年建,120.4㎡,119.5万
中层（共32层）,2016年建,118㎡,229万
中层（共33层）,,124㎡,60万
中层（共5层）,,133㎡,45万
中层（共10层）,2020年建,98.64㎡,40万
中层（共6层）,,145㎡,73万
中层（共35层）,2019年建,83㎡,64万
低层（共34层）,2017年建,112㎡,54万
中层（共22层）,2010年建,113.78㎡,126万
低层（共14层）,2011年建,78.42㎡,122万
中层（共2层）,,150㎡,50万
高层（共1层）,,252㎡,65万
高层（共6层）,,130.9㎡,45万
高层（共18层）,2020年建,128.56㎡,61万
高层（共16层）,,115㎡,75万
中层（共30层）,2020年建,50㎡,47.3万
高层（共18层）,2019年建,129.08㎡,81.1万
高层（共28层）,2015年建,115㎡,102万
低层（共33层）,2015年建,80㎡,135万
中层（共30层）,,153㎡,98万
中层（共18层）,,120㎡,47万
高层（共28层）,2017年建,119.94㎡,55万
中层（共6层）,,120.41㎡,68万
中层（共22层）,2020年建,35㎡,50.4万
中层（共6层）,2010年建,134㎡,65万
低层（共24层）,2020年建,89.9㎡,99万
低层（共34层）,2013年建,88.1㎡,105万
高层（共7层）,,98.86㎡,30万
高层（共1层）,,350㎡,39万
高层（共7层）,2008年建,127.18㎡,47万
低层（共6层）,,145.3㎡,85万
中层（共33层）,2016年建,133㎡,133万
中层（共33层）,2020年建,119.76㎡,70万
高层（共23层）,2015年建,127.26㎡,108万
高层（共32层）,2012年建,83.91㎡,128万
中层（共7层）,,143㎡,66666万
中层（共6层）,2019年建,103.64㎡,53万
中层（共5层）,,126㎡,40万
高层（共25层）,,123.6㎡,132万
低层（共11层）,2020年建,129㎡,310万
中层（共7层）,2008年建,123㎡,52万
高层（共33层）,2020年建,129.58㎡,115万
中层（共31层）,2019年建,132㎡,129万
中层（共34层）,,125㎡,66666万
低层（共30层）,2020年建,103㎡,61万
低层（共5层）,,93.93㎡,24180万
低层（共11层）,,169㎡,155万
中层（共23层）,2019年建,31㎡,26万
低层（共33层）,2020年建,117㎡,45.9万
高层（共23层）,2014年建,91.28㎡,103万
中层（共26层）,2008年建,81.62㎡,122万
高层（共6层）,,112㎡,18万
高层（共26层）,2020年建,89.6㎡,55.8万
低层（共3层）,,54㎡,50万
中层（共12层）,,230㎡,260万
高层（共17层）,2018年建,57㎡,115万
中层（共33层）,2019年建,149.8㎡,96万
高层（共18层）,2012年建,115.54㎡,105万
低层（共33层）,2013年建,74.65㎡,117万
中层（共7层）,,144㎡,65万
高层（共33层）,,128㎡,100万
高层（共17层）,2012年建,84.56㎡,34.5万
低层（共3层）,,51㎡,50万
高层（共6层）,,141㎡,88万
高层（共17层）,2018年建,57㎡,109万
中层（共31层）,2018年建,98㎡,50万
中层（共31层）,2015年建,176.71㎡,220万
低层（共33层）,2013年建,74.65㎡,117万
中层（共7层）,,95㎡,45万
中层（共7层）,2012年建,133.79㎡,63.5万
中层（共20层）,,201㎡,160万
低层（共4层）,,500㎡,230万
中层（共30层）,2017年建,92㎡,76万
中层（共28层）,2013年建,102㎡,63.8万
中层（共32层）,2015年建,126.05㎡,128万
高层（共6层）,2012年建,96㎡,102.5万
中层（共17层）,,144㎡,40万
高层（共1层）,,112㎡,13万
高层（共17层）,2008年建,153㎡,72万
低层（共18层）,,124㎡,69万
中层（共6层）,,61.6㎡,50万
中层（共25层）,2020年建,51㎡,96万
低层（共33层）,2019年建,118㎡,62万
中层（共32层）,2015年建,126.05㎡,128万
高层（共25层）,2013年建,97.72㎡,110万
高层（共7层）,,120㎡,40万
低层（共32层）,,109.71㎡,78万
中层（共6层）,,43.63㎡,15万
中层（共17层）,,85㎡,35万
低层（共32层）,,127㎡,40万
低层（共26层）,,128.52㎡,68万
高层（共18层）,,127㎡,75万
高层（共26层）,2017年建,32㎡,58.9万
低层（共33层）,2018年建,129㎡,65万
高层（共33层）,2008年建,134㎡,76万
中层（共18层）,2015年建,84.47㎡,84.9万
中层（共32层）,2015年建,84.24㎡,128万
中层（共6层）,,136㎡,150万
中层（共7层）,,73.3㎡,33万
低层（共32层）,,127㎡,40万
低层（共32层）,2020年建,128㎡,73万
高层（共17层）,,115㎡,32.2万
中层（共32层）,2016年建,177.72㎡,130万
低层（共26层）,2010年建,126.7㎡,102万
低层（共34层）,2017年建,102.07㎡,134万
高层（共1层）,,205㎡,130万
低层（共28层）,,138㎡,40万
高层（共7层）,,93.2㎡,20万
中层（共25层）,2013年建,121㎡,68万
中层（共6层）,,95㎡,55万
中层（共33层）,2018年建,110㎡,70万
高层（共18层）,2014年建,92.85㎡,82万
中层（共11层）,2012年建,83.23㎡,106万
高层（共7层）,,140.9㎡,70万
高层（共7层）,,97㎡,26万
高层（共7层）,,54㎡,19万
中层（共32层）,2020年建,96㎡,60万
高层（共7层）,,106.09㎡,42万
高层（共30层）,2015年建,163㎡,62万
中层（共32层）,2015年建,143.97㎡,157万
高层（共30层）,2009年建,46.32㎡,55万
低层（共5层）,,8㎡,8万
低层（共26层）,,125.6㎡,50万
低层（共18层）,,94㎡,36万
低层（共18层）,2012年建,138.5㎡,74万
中层（共5层）,,90㎡,60万
低层（共32层）,2015年建,126.2㎡,133万
高层（共1层）,2020年建,189㎡,416万
高层（共18层）,,86.7㎡,34万
低层（共28层）,,138㎡,43万
高层（共19层）,,71.88㎡,11万
高层（共16层）,2020年建,108㎡,59万
高层（共6层）,,85㎡,18万
中层（共27层）,2015年建,143㎡,185万
低层（共16层）,2020年建,106㎡,180万
高层（共10层）,,90㎡,22万
低层（共6层）,,110㎡,49万
高层（共6层）,,122㎡,35万
低层（共20层）,,121㎡,35万
高层（共18层）,2015年建,116㎡,102万
低层（共18层）,2020年建,172㎡,385万
高层（共1层）,,89.6㎡,37万
高层（共5层）,,92㎡,30万
低层（共6层）,,113㎡,40万
中层（共17层）,,70㎡,35万
低层（共33层）,2013年建,91㎡,140万
高层（共4层）,,94㎡,80万
低层（共7层）,,88㎡,20万
高层（共4层）,,200㎡,72万
中层（共33层）,2014年建,77.18㎡,115万
高层（共4层）,,94㎡,80万
中层（共6层）,,72㎡,18万
高层（共7层）,,153㎡,53万
中层（共32层）,2015年建,83.53㎡,133万
中层（共32层）,,61.7㎡,36万
中层（共32层）,,61.7㎡,36万
中层（共30层）,,120㎡,65万
中层（共18层）,,112.2㎡,56万
中层（共29层）,2017年建,277㎡,485万
低层（共6层）,,127㎡,83万
高层（共7层）,,177㎡,71万
高层（共7层）,,97㎡,19万
高层（共33层）,2015年建,97.61㎡,158万
中层（共6层）,,90㎡,75万
高层（共31层）,,130㎡,28万
低层（共19层）,,90㎡,29万
高层（共33层）,2014年建,77.18㎡,117万
中层（共2层）,,100㎡,60万
低层（共27层）,,90㎡,63万
中层（共26层）,,90.16㎡,61万
低层（共18层）,,120㎡,36万
中层（共32层）,2015年建,84.24㎡,128万
低层（共6层）,,82㎡,43万
中层（共6层）,,110㎡,48万
中层（共6层）,,100㎡,22万
低层（共33层）,2013年建,91㎡,140万
中层（共32层）,,117㎡,70万
中层（共6层）,,110㎡,48万
高层（共7层）,,117㎡,36万
低层（共28层）,2010年建,91.56㎡,107万
中层（共30层）,,115㎡,60万
低层（共26层）,,126㎡,86万
低层（共6层）,,140㎡,30万
高层（共34层）,2017年建,74㎡,114万
低层（共18层）,,92㎡,29万
高层（共7层）,,62㎡,18万
低层（共12层）,,113.2㎡,34万
高层（共34层）,2017年建,74㎡,111.5万
高层（共24层）,2011年建,143.9㎡,430万
低层（共16层）,,92㎡,29万
低层（共32层）,,90㎡,65万
高层（共4层）,,107㎡,40万
中层（共30层）,2008年建,103.93㎡,135万
高层（共22层）,,104㎡,80万
中层（共27层）,,90.14㎡,63万
中层（共33层）,,143.3㎡,96万
中层（共6层）,,100㎡,22万
高层（共11层）,2014年建,173㎡,600万
高层（共27层）,,100㎡,60万
中层（共29层）,,112㎡,83万
高层（共6层）,,96㎡,19万
高层（共7层）,,103㎡,28万
高层（共34层）,2014年建,106㎡,175万
高层（共32层）,,171㎡,136万
低层（共26层）,,90㎡,65万
高层（共6层）,,90.61㎡,29万
高层（共7层）,,103㎡,28万
中层（共33层）,2012年建,94.7㎡,255万
中层（共29层）,,200㎡,178万
中层（共8层）,,78㎡,24万
中层（共21层）,,74㎡,26万
中层（共16层）,,98.22㎡,33万
低层（共33层）,2012年建,89㎡,249万
中层（共6层）,,85㎡,42万
中层（共7层）,,64.16㎡,24万
中层（共6层）,,108㎡,70万
中层（共6层）,,129㎡,86万
高层（共7层）,,54㎡,16万
低层（共26层）,2009年建,91.98㎡,136万
高层（共32层）,2013年建,87.16㎡,188万
低层（共6层）,,99㎡,50万
低层（共6层）,,86㎡,31万
中层（共5层）,,130㎡,65万
高层（共21层）,,94㎡,45万
低层（共5层）,,83㎡,36万
中层（共32层）,2020年建,116㎡,191万
高层（共7层）,,110㎡,36万
中层（共8层）,,64㎡,24万
高层（共32层）,2019年建,149㎡,204万
中层（共17层）,,127㎡,55万
高层（共32层）,,142.3㎡,80万
高层（共28层）,,157㎡,57万
低层（共18层）,,94㎡,31万
中层（共28层）,2012年建,127.78㎡,275万
低层（共7层）,,112.36㎡,32万
中层（共24层）,,49㎡,29万
中层（共8层）,2015年建,90㎡,60万
低层（共18层）,,88㎡,41万
高层（共7层）,,148㎡,58万
高层（共6层）,2009年建,120㎡,85万
中层（共17层）,2020年建,63.57㎡,65万
低层（共6层）,,130㎡,45万
高层（共32层）,,142.3㎡,80万
低层（共28层）,,117㎡,42万
高层（共7层）,,97㎡,19万
低层（共33层）,2010年建,89.24㎡,165万
低层（共22层）,,183㎡,140万
高层（共17层）,,141㎡,51万
低层（共21层）,2013年建,108㎡,68万
低层（共18层）,,88㎡,41万
低层（共7层）,,123㎡,40万
中层（共29层）,2018年建,82㎡,70万
低层（共24层）,2018年建,88㎡,60万
中层（共6层）,2003年建,118㎡,112万
中层（共12层）,,101㎡,46万
高层（共6层）,,75㎡,39万
中层（共34层）,,103㎡,65万
低层（共6层）,,106㎡,37万
低层（共32层）,2015年建,137㎡,182万
高层（共30层）,,115㎡,62万
高层（共7层）,,56㎡,20万
低层（共33层）,,99.81㎡,34万
中层（共12层）,2010年建,128㎡,130万
低层（共16层）,,87㎡,36万
高层（共6层）,,170㎡,88万
中层（共7层）,,123㎡,40万
中层（共6层）,2009年建,125.28㎡,98万
低层（共6层）,1997年建,61㎡,62万
中层（共30层）,,113㎡,30万
高层（共6层）,,60㎡,18万
中层（共28层）,,102㎡,55万
低层（共6层）,,108.8㎡,29万
低层（共33层）,2015年建,88㎡,115万
高层（共9层）,2015年建,142.42㎡,290万
高层（共24层）,,104㎡,70万
高层（共6层）,,69㎡,10万
中层（共6层）,2006年建,88.64㎡,65万
高层（共32层）,,80㎡,4300万
高层（共34层）,,116㎡,60万
中层（共6层）,2006年建,102㎡,78万
中层（共6层）,2003年建,81.95㎡,83万
中层（共7层）,,79㎡,28万
高层（共6层）,,60㎡,18万
高层（共29层）,,74㎡,18万
低层（共18层）,,187㎡,58万
高层（共32层）,2014年建,90.56㎡,130万
中层（共11层）,,187㎡,136万
高层（共6层）,,70.77㎡,31万
高层（共7层）,2005年建,156㎡,108万
高层（共6层）,,100.3㎡,39万
高层（共14层）,,87㎡,33万
中层（共6层）,2005年建,70㎡,49万
低层（共6层）,1996年建,96㎡,75万
低层（共30层）,,113㎡,58万
高层（共6层）,,135㎡,73万
中层（共4层）,,80㎡,40万
高层（共6层）,,155㎡,55万
高层（共18层）,2015年建,106.03㎡,93万
高层（共12层）,,264㎡,232万
低层（共11层）,,169㎡,136万
中层（共32层）,,121㎡,70万
低层（共20层）,2014年建,85㎡,90万
高层（共13层）,,132.82㎡,70万
高层（共7层）,,88㎡,27万
中层（共11层）,2016年建,44㎡,40万
低层（共30层）,2010年建,119.87㎡,165万
高层（共19层）,,55㎡,20万
中层（共26层）,,80㎡,28万
高层（共13层）,,98.5㎡,57万
高层（共23层）,,125㎡,70万
中层（共33层）,2013年建,171㎡,538万
高层（共5层）,,120㎡,60万
中层（共18层）,,97㎡,45万
中层（共6层）,2010年建,95㎡,50万
高层（共13层）,,132.82㎡,70万
高层（共6层）,,130㎡,24万
高层（共16层）,2017年建,124㎡,87万
低层（共25层）,2014年建,140㎡,140万
高层（共9层）,,114㎡,23万
高层（共6层）,,97㎡,31万
高层（共7层）,,115㎡,19万
低层（共6层）,,80㎡,18万
高层（共32层）,2016年建,180.02㎡,435万
低层（共34层）,2012年建,127㎡,330万
高层（共4层）,,88㎡,68万
高层（共14层）,,132㎡,60万
高层（共6层）,2008年建,98㎡,90万
高层（共4层）,,83.21㎡,18万
中层（共6层）,,70㎡,10万
中层（共12层）,2015年建,145㎡,85万
低层（共6层）,2005年建,65㎡,50万
中层（共6层）,2020年建,92㎡,92万
中层（共33层）,,104㎡,55万
高层（共6层）,,97㎡,31万
中层（共7层）,,158㎡,53万
高层（共4层）,,187㎡,95万
中层（共18层）,2015年建,94.19㎡,200万
高层（共18层）,,92.5㎡,35万
低层（共7层）,,88㎡,32万
中层（共6层）,2004年建,118㎡,92万
中层（共6层）,,107㎡,20万
中层（共33层）,,97.34㎡,65万
低层（共2层）,,104㎡,16万
中层（共32层）,2018年建,78.8㎡,61万
中层（共6层）,2006年建,100㎡,85万
中层（共6层）,2006年建,106㎡,122万
中层（共8层）,,128㎡,55万
高层（共6层）,,135㎡,73万
高层（共16层）,,132㎡,83万
低层（共30层）,,70.04㎡,21万
高层（共6层）,,130㎡,52万
低层（共7层）,,87㎡,13万
中层（共33层）,2014年建,210㎡,680万
中层（共33层）,2020年建,143㎡,245万
高层（共7层）,,70㎡,16万
中层（共18层）,,143㎡,70万
低层（共6层）,2000年建,135㎡,110万
高层（共6层）,,87㎡,42万
低层（共18层）,,147㎡,160万
中层（共30层）,2016年建,122㎡,97万
中层（共32层）,2019年建,144㎡,180万
高层（共3层）,,94㎡,63万
高层（共11层）,,103㎡,41万
高层（共2层）,,200㎡,72万
低层（共12层）,,106㎡,50万
高层（共7层）,,109㎡,40万
中层（共26层）,,132.88㎡,59万
中层（共21层）,2020年建,155.42㎡,127.8万
高层（共7层）,,160㎡,61万
低层（共8层）,,86㎡,42万
低层（共7层）,2000年建,93㎡,87万
高层（共18层）,,127㎡,42万
低层（共26层）,,75.6㎡,38万
高层（共6层）,2005年建,62㎡,46万
中层（共32层）,2019年建,115㎡,109万
中层（共19层）,,144㎡,128万
中层（共26层）,,148㎡,90万
中层（共26层）,,148㎡,90万
低层（共4层）,,103㎡,30万
高层（共2层）,,384㎡,50万
中层（共26层）,,132.88㎡,59万
高层（共22层）,2010年建,92㎡,115万
中层（共6层）,,89.3㎡,92万
中层（共6层）,,89.3㎡,91万
低层（共7层）,,110㎡,60万
高层（共5层）,,73㎡,17万
中层（共6层）,2000年建,120㎡,80万
高层（共18层）,,115㎡,50万
中层（共3层）,,41㎡,25万
高层（共7层）,,104㎡,16万
高层（共19层）,2015年建,132㎡,85万
高层（共6层）,2013年建,94㎡,80万
低层（共28层）,2013年建,146.19㎡,280万
中层（共16层）,2009年建,149㎡,190万
高层（共1层）,,500㎡,420万
低层（共17层）,,111㎡,27万
高层（共3层）,,400㎡,288万
中层（共5层）,,105㎡,35万
中层（共29层）,,78㎡,45万
高层（共18层）,,96㎡,49万
中层（共13层）,,45㎡,14万
高层（共34层）,2010年建,85.49㎡,126万
中层（共29层）,,108㎡,55万
高层（共6层）,,138㎡,69万
高层（共5层）,,70㎡,23万
中层（共6层）,2014年建,120㎡,60万
高层（共6层）,2000年建,138㎡,102万
低层（共6层）,,115㎡,40万
高层（共6层）,,102㎡,42万
中层（共3层）,,31㎡,16万
低层（共7层）,,80㎡,15万
低层（共23层）,2016年建,122㎡,74万
中层（共43层）,2020年建,127㎡,127万
中层（共6层）,,127㎡,63万
高层（共5层）,,98㎡,36万
低层（共6层）,,135.5㎡,49万
高层（共1层）,,600㎡,150万
中层（共20层）,,168.3㎡,130万
高层（共14层）,2005年建,121.72㎡,163万
高层（共32层）,2013年建,107.45㎡,185万
中层（共30层）,,115㎡,62万
中层（共20层）,,47㎡,31万
中层（共17层）,,167㎡,96万
中层（共6层）,2008年建,120㎡,105万
低层（共6层）,,84㎡,17万
高层（共6层）,,60㎡,7万
高层（共5层）,2008年建,77㎡,54万
中层（共6层）,2020年建,99.9㎡,112万
中层（共30层）,,113㎡,45.63万
中层（共6层）,,124㎡,72万
高层（共6层）,,103㎡,28万
中层（共6层）,,112㎡,31万
高层（共7层）,,90㎡,18万
低层（共33层）,2015年建,67.41㎡,119万
中层（共18层）,,95.24㎡,37万
中层（共28层）,,117㎡,81万
低层（共6层）,2000年建,132㎡,119万
低层（共22层）,,72㎡,36万
高层（共7层）,,147.3㎡,58万
高层（共25层）,2015年建,130㎡,104万
高层（共26层）,2014年建,92㎡,105万
低层（共17层）,,111㎡,24万
中层（共6层）,,170㎡,100万
高层（共4层）,,80㎡,32万
高层（共3层）,,146㎡,123万
中层（共34层）,2020年建,78.63㎡,137万
高层（共9层）,2020年建,129㎡,220万
中层（共6层）,,75㎡,45万
高层（共27层）,,90㎡,65万
中层（共23层）,,80㎡,54万
中层（共2层）,,220㎡,60万
低层（共6层）,,67㎡,16万
中层（共6层）,,64.4㎡,39万
高层（共16层）,2017年建,127㎡,80万
高层（共6层）,1998年建,82.79㎡,122万
中层（共32层）,,155㎡,100万
低层（共25层）,,107㎡,44万
高层（共5层）,,99㎡,37万
中层（共22层）,,75㎡,30万
低层（共3层）,,120㎡,45万
低层（共34层）,2019年建,97㎡,160万
中层（共2层）,,274㎡,65万
中层（共19层）,,91㎡,39万
低层（共18层）,2018年建,104㎡,62万
中层（共2层）,,220㎡,61万
高层（共6层）,,93.61㎡,55万
高层（共7层）,,71㎡,36万
低层（共6层）,2010年建,104㎡,83万
低层（共6层）,1995年建,63.34㎡,63万
中层（共17层）,,114.57㎡,32万
低层（共15层）,,106㎡,39万
高层（共17层）,,112㎡,55万
高层（共7层）,,89㎡,32万
中层（共27层）,,142㎡,43万
低层（共23层）,2015年建,111.25㎡,199万
高层（共7层）,,80㎡,63万
高层（共7层）,,93㎡,23万
高层（共7层）,2000年建,121㎡,115万
低层（共19层）,,156㎡,68万
高层（共7层）,,93㎡,25万
中层（共6层）,2015年建,104.16㎡,94万
中层（共32层）,2019年建,144㎡,180万
高层（共19层）,,86.13㎡,38万
高层（共6层）,,60㎡,22万
高层（共17层）,,120㎡,48万
高层（共6层）,,100㎡,23万
高层（共18层）,2014年建,151㎡,180万
高层（共7层）,,80㎡,63万
低层（共12层）,,72.97㎡,32万
低层（共6层）,2010年建,130㎡,125万
高层（共6层）,,96.75㎡,44万
低层（共7层）,,80㎡,45万
高层（共5层）,2004年建,81.37㎡,59万
中层（共33层）,2019年建,120㎡,125万
高层（共32层）,,136㎡,60万
高层（共19层）,,100.8㎡,39万
高层（共5层）,,102㎡,38万
中层（共2层）,,127㎡,59万
中层（共32层）,2012年建,113.44㎡,188万
低层（共3层）,,100㎡,44万
低层（共6层）,,40㎡,16万
高层（共26层）,,258㎡,95万
低层（共6层）,2008年建,70㎡,62万
低层（共25层）,,116㎡,67万
中层（共32层）,,120㎡,105万
中层（共28层）,2018年建,84㎡,70万
低层（共6层）,2000年建,70.3㎡,58万
中层（共6层）,,118㎡,55万
高层（共1层）,,232㎡,46万
高层（共7层）,,128㎡,52万
低层（共7层）,,105.94㎡,36万
高层（共33层）,2015年建,78.48㎡,120万
中层（共6层）,,123㎡,29万
高层（共6层）,,97㎡,33万
中层（共7层）,2000年建,99㎡,80万
高层（共6层）,,72㎡,23万
高层（共6层）,,165㎡,37万
高层（共6层）,,150㎡,130万
中层（共28层）,2018年建,85㎡,60万
低层（共6层）,1997年建,73.4㎡,72万
高层（共6层）,1996年建,68.4㎡,70万
中层（共6层）,,118㎡,55万
低层（共6层）,,92㎡,33万
中层（共7层）,,70㎡,36万
高层（共6层）,,155㎡,42万
中层（共33层）,2014年建,113.63㎡,350万
低层（共18层）,,103㎡,67万
中层（共5层）,,160㎡,50万
低层（共18层）,,90.44㎡,45万
低层（共6层）,2005年建,70㎡,72万
中层（共6层）,,127㎡,55万
高层（共25层）,,117㎡,66万
高层（共27层）,,127㎡,60万
中层（共21层）,2015年建,108㎡,80万
低层（共6层）,,137㎡,55万
低层（共33层）,2020年建,109.3㎡,98万
高层（共7层）,,78.1㎡,23.6万
高层（共5层）,,98㎡,36万
中层（共32层）,,109㎡,55万
中层（共15层）,,75.29㎡,26万
中层（共32层）,2012年建,113.8㎡,180万
中层（共33层）,2015年建,133㎡,150万
低层（共27层）,,96㎡,68万
高层（共7层）,,23㎡,23万
中层（共6层）,2007年建,120㎡,99万
中层（共26层）,,80㎡,48万
中层（共33层）,,139㎡,62万
高层（共5层）,,80㎡,49万
中层（共32层）,2020年建,44.8㎡,40万
低层（共11层）,,116㎡,46万
高层（共19层）,,100.8㎡,38万
高层（共1层）,,60㎡,12万
中层（共6层）,,110㎡,40万
中层（共7层）,,105㎡,37万
高层（共5层）,,110㎡,52万
中层（共7层）,,107㎡,30万
中层（共26层）,,145㎡,106万
中层（共6层）,2006年建,89㎡,71万
低层（共6层）,,90㎡,33万
低层（共7层）,,67㎡,18万
高层（共6层）,,138㎡,75万
低层（共32层）,2019年建,144㎡,180万
低层（共11层）,,119㎡,45万
高层（共30层）,,70㎡,21万
低层（共17层）,,138㎡,60万
低层（共18层）,,130㎡,37万
中层（共6层）,,80㎡,42万
高层（共5层）,,62.5㎡,25万
低层（共5层）,2006年建,70㎡,60万
低层（共6层）,,100.8㎡,60万
低层（共26层）,,114㎡,64万
